Time,ERCOT_Total
2025-06-01 00:00:00,67529
2025-06-01 01:00:00,63819
2025-06-01 02:00:00,61570
2025-06-01 03:00:00,60480
2025-06-01 04:00:00,57988
2025-06-01 05:00:00,55039
2025-06-01 06:00:00,52059
2025-06-01 07:00:00,49472
2025-06-01 08:00:00,47408
2025-06-01 09:00:00,46043
2025-06-01 10:00:00,45309
2025-06-01 11:00:00,44929
2025-06-01 12:00:00,44542
2025-06-01 13:00:00,45300
2025-06-01 14:00:00,48340
2025-06-01 15:00:00,52039
2025-06-01 16:00:00,55566
2025-06-01 17:00:00,59312
2025-06-01 18:00:00,62636
2025-06-01 19:00:00,65798
2025-06-01 20:00:00,68529
2025-06-01 21:00:00,70665
2025-06-01 22:00:00,72334
2025-06-01 23:00:00,72315
2025-06-02 00:00:00,71638
2025-06-02 01:00:00,69662
2025-06-02 02:00:00,67068
2025-06-02 03:00:00,65275
2025-06-02 04:00:00,62062
2025-06-02 05:00:00,58044
2025-06-02 06:00:00,54477
2025-06-02 07:00:00,51864
2025-06-02 08:00:00,49827
2025-06-02 09:00:00,48739
2025-06-02 10:00:00,48642
2025-06-02 11:00:00,49625
2025-06-02 12:00:00,50826
2025-06-02 13:00:00,52347
2025-06-02 14:00:00,55244
2025-06-02 15:00:00,58794
2025-06-02 16:00:00,62838
2025-06-02 17:00:00,66994
2025-06-02 18:00:00,70654
2025-06-02 19:00:00,73359
2025-06-02 20:00:00,75157
2025-06-02 21:00:00,76062
2025-06-02 22:00:00,76162
2025-06-02 23:00:00,75694
2025-06-03 00:00:00,74715
2025-06-03 01:00:00,72740
2025-06-03 02:00:00,70732
2025-06-03 03:00:00,68749
2025-06-03 04:00:00,64999
2025-06-03 05:00:00,60881
2025-06-03 06:00:00,57395
2025-06-03 07:00:00,54684
2025-06-03 08:00:00,52824
2025-06-03 09:00:00,51503
2025-06-03 10:00:00,51238
2025-06-03 11:00:00,52044
2025-06-03 12:00:00,53160
2025-06-03 13:00:00,54439
2025-06-03 14:00:00,56962
