zone_id,n_substations,n_transmission_lines,infra_weight
Z00038,1,10,0.2962121212121212
Z00036,1,4,0.24848484848484848
Z00035,1,3,0.24053030303030304
Z00046,0,4,0.031818181818181815
Z00030,0,3,0.02386363636363636
Z00022,0,3,0.02386363636363636
Z00014,0,3,0.02386363636363636
Z00006,0,3,0.02386363636363636
Z00037,0,2,0.015909090909090907
Z00032,0,2,0.015909090909090907
Z00034,0,2,0.015909090909090907
Z00033,0,2,0.015909090909090907
Z00044,0,1,0.007954545454545454
Z00039,0,1,0.007954545454545454
Z00052,0,1,0.007954545454545454
Z00003,0,0,0.0
Z00005,0,0,0.0
Z00002,0,0,0.0
Z00021,0,0,0.0
Z00020,0,0,0.0
Z00019,0,0,0.0
Z00018,0,0,0.0
Z00017,0,0,0.0
Z00015,0,0,0.0
Z00013,0,0,0.0
Z00012,0,0,0.0
Z00007,0,0,0.0
Z00011,0,0,0.0
Z00010,0,0,0.0
Z00009,0,0,0.0
Z00004,0,0,0.0
Z00029,0,0,0.0
Z00027,0,0,0.0
Z00028,0,0,0.0
Z00031,0,0,0.0
Z00023,0,0,0.0
Z00024,0,0,0.0
Z00025,0,0,0.0
Z00026,0,0,0.0
Z00042,0,0,0.0
Z00041,0,0,0.0
Z00040,0,0,0.0
Z00045,0,0,0.0
Z00043,0,0,0.0
Z00049,0,0,0.0
Z00048,0,0,0.0
Z00050,0,0,0.0
Z00051,0,0,0.0
Z00056,0,0,0.0
Z00057,0,0,0.0
