zone_id,OBJECTID
Z00006,83068
Z00006,88242
Z00006,92763
Z00014,83068
Z00014,88242
Z00014,92763
Z00022,83068
Z00022,88242
Z00022,92763
Z00030,83068
Z00030,88242
Z00030,92763
Z00032,89879
Z00032,84516
Z00033,89879
Z00033,84516
Z00034,89879
Z00034,84516
Z00035,89879
Z00035,84516
Z00035,92908
Z00036,84516
Z00036,84736
Z00036,92908
Z00036,84814
Z00037,92908
Z00037,84814
Z00038,82869
Z00038,92908
Z00038,83068
Z00038,84814
Z00038,88242
Z00038,90824
Z00038,87633
Z00038,92763
Z00038,85914
Z00038,91286
Z00039,85914
Z00044,84736
Z00046,82869
Z00046,90824
Z00046,87633
Z00046,91286
Z00052,84736
