zone_id,total_customers_deenergized
Z00002,560269098
Z00003,560269098
Z00004,560269098
Z00005,560269098
Z00006,560269098
Z00007,560269098
Z00009,560269098
Z00010,560269098
Z00011,560269098
Z00012,560269098
Z00013,560269098
Z00014,560269098
Z00015,560269098
Z00017,560269098
Z00018,560269098
Z00019,560269098
Z00020,560269098
Z00021,560269098
Z00022,560269098
Z00023,560269098
Z00024,560269098
Z00025,560269098
Z00026,560269098
Z00027,560269098
Z00028,560269098
Z00029,560269098
Z00030,560269098
Z00031,560269098
Z00032,560269098
Z00033,560269098
Z00034,560269098
Z00035,560269098
Z00036,560269098
Z00037,560269098
Z00038,560269098
Z00039,560269098
Z00040,560269098
Z00041,560269098
Z00042,560269098
Z00043,560269098
Z00044,560269098
Z00045,560269098
Z00046,560269098
Z00048,560269098
Z00049,560269098
Z00050,560269098
Z00051,560269098
Z00052,560269098
Z00056,560269098
Z00057,560269098
