date,avg_temp_f,solar_irradiance_wm2,demand_mean_mw,demand_peak_mw,dow,is_weekend,month,prev_day_demand_mw,prev_temp_f,rolling_3d_demand_mw,is_holiday
2025-06-01,83.9765209245509,754.13,57042.54166666666,72334,6,1,6,,,,0
2025-06-02,85.48117632095808,754.25,62127.25,76162,0,0,6,72334.0,83.9765209245509,72334.0,0
2025-06-03,83.89739503712573,754.35,63164.208333333336,74753,1,0,6,76162.0,85.48117632095808,74248.0,0
2025-06-04,83.93705677604791,754.44,60598.66666666666,73302,2,0,6,74753.0,83.89739503712573,74416.33333333333,0
2025-06-05,85.7694328479042,754.52,60915.54166666666,75902,3,0,6,73302.0,83.93705677604791,74739.0,0
2025-06-06,87.27095749461077,754.59,64397.958333333336,75912,4,0,6,75902.0,85.7694328479042,74652.33333333333,0
2025-06-07,87.80690290299401,754.65,64458.41666666666,75710,5,1,6,75912.0,87.27095749461077,75038.66666666667,0
2025-06-08,88.14689768143712,754.69,63925.958333333336,76397,6,1,6,75710.0,87.80690290299401,75841.33333333333,0
2025-06-09,84.51658395688622,754.72,63512.91666666666,75752,0,0,6,76397.0,88.14689768143712,76006.33333333333,0
2025-06-10,85.49482730538922,754.74,61424.25,75240,1,0,6,75752.0,84.51658395688622,75953.0,0
2025-06-11,81.48022677365269,754.74,57299.5,69242,2,0,6,75240.0,85.49482730538922,75796.33333333333,0
2025-06-12,77.31806224191617,754.74,55392.16666666666,63517,3,0,6,69242.0,81.48022677365269,73411.33333333333,0
2025-06-13,83.14609689580838,754.71,58929.16666666666,75650,4,0,6,63517.0,77.31806224191617,69333.0,0
2025-06-14,84.33504074251496,754.68,62272.708333333336,74529,5,1,6,75650.0,83.14609689580838,69469.66666666667,0
2025-06-15,82.70127279041915,754.62,60960.54166666666,73572,6,1,6,74529.0,84.33504074251496,71232.0,0
2025-06-16,82.27533187065868,754.32,59113.5,75437,0,0,6,73572.0,82.70127279041915,74583.66666666667,0
2025-06-17,86.65072280718563,754.0,64258.833333333336,75920,1,0,6,75437.0,82.27533187065868,74512.66666666667,0
2025-06-18,87.54708680718564,753.66,65805.54166666667,75851,2,0,6,75920.0,86.65072280718563,74976.33333333333,0
2025-06-19,88.29319698203594,753.31,66130.25,77295,3,0,6,75851.0,87.54708680718564,75736.0,1
2025-06-20,88.76994480958083,752.94,67206.0,77040,4,0,6,77295.0,88.29319698203594,76355.33333333333,0
2025-06-21,88.21468399999999,752.55,65377.625,76582,5,1,6,77040.0,88.76994480958083,76728.66666666667,0
2025-06-22,87.61407177005988,752.14,63849.29166666666,76170,6,1,6,76582.0,88.21468399999999,76972.33333333333,0
2025-06-23,87.17116260598803,751.71,65793.875,76817,0,0,6,76170.0,87.61407177005988,76597.33333333333,0
2025-06-24,86.17971251736527,751.26,65311.583333333336,76587,1,0,6,76817.0,87.17116260598803,76523.0,0
2025-06-25,82.87906489101798,750.78,63514.833333333336,75505,2,0,6,76587.0,86.17971251736527,76524.66666666667,0
2025-06-26,82.54945522874252,750.28,62693.29166666666,75475,3,0,6,75505.0,82.87906489101798,76303.0,0
2025-06-27,84.09113988023952,749.76,63606.833333333336,76489,4,0,6,75475.0,82.54945522874252,75855.66666666667,0
2025-06-28,85.64920134131737,749.21,64323.04166666666,76668,5,1,6,76489.0,84.09113988023952,75823.0,0
2025-06-29,83.29056843113771,748.63,63690.333333333336,76267,6,1,6,76668.0,85.64920134131737,76210.66666666667,0
2025-06-30,83.86764459401198,748.02,63992.66666666666,75994,0,0,6,76267.0,83.29056843113771,76474.66666666667,0
2025-07-01,85.66291497005987,747.38,61874.16666666666,75436,1,0,7,75994.0,83.86764459401198,76309.66666666667,0
2025-07-02,87.13137471616766,746.71,63235.125,74595,2,0,7,75436.0,85.66291497005987,75899.0,0
2025-07-03,82.81650879041915,746.01,61285.625,70576,3,0,7,74595.0,87.13137471616766,75341.66666666667,0
2025-07-04,84.06433527185628,745.28,58353.0,67627,4,0,7,70576.0,82.81650879041915,73535.66666666667,1
2025-07-05,85.95322888622755,744.51,57345.5,65326,5,1,7,67627.0,84.06433527185628,70932.66666666667,0
2025-07-06,86.85722721437125,743.71,57785.208333333336,69511,6,1,7,65326.0,85.95322888622755,67843.0,0
2025-07-07,86.32402569580839,742.87,61677.66666666666,74405,0,0,7,69511.0,86.85722721437125,67488.0,0
2025-07-08,82.3523973508982,741.99,63097.04166666666,73463,1,0,7,74405.0,86.32402569580839,69747.33333333333,0
2025-07-09,81.99473153053893,741.08,60690.25,73767,2,0,7,73463.0,82.3523973508982,72459.66666666667,0
2025-07-10,86.1909111473054,740.12,62244.625,76708,3,0,7,73767.0,81.99473153053893,73878.33333333333,0
2025-07-11,85.43820568622753,739.13,65026.125,76129,4,0,7,76708.0,86.1909111473054,74646.0,0
2025-07-12,86.69555220598802,738.1,63250.458333333336,73955,5,1,7,76129.0,85.43820568622753,75534.66666666667,0
2025-07-13,84.15704087664672,737.02,59747.66666666666,71081,6,1,7,73955.0,86.69555220598802,75597.33333333333,0
2025-07-14,84.18305059640718,735.9,61485.208333333336,75725,0,0,7,71081.0,84.15704087664672,73721.66666666667,0
2025-07-15,86.29204458922155,734.74,64934.625,77946,1,0,7,75725.0,84.18305059640718,73587.0,0
2025-07-16,87.44790301317366,734.33,66032.91666666667,78536,2,0,7,77946.0,86.29204458922155,74917.33333333333,0
2025-07-17,85.34006231377245,734.66,65920.0,78100,3,0,7,78536.0,87.44790301317366,77402.33333333333,0
2025-07-18,85.72809915688623,734.94,65459.66666666666,77952,4,0,7,78100.0,85.34006231377245,78194.0,0
2025-07-19,88.09898245748502,735.18,65602.20833333333,77751,5,1,7,77952.0,85.72809915688623,78196.0,0
2025-07-20,88.34092185868263,735.37,65627.58333333333,77406,6,1,7,77751.0,88.09898245748502,77934.33333333333,0
2025-07-21,88.03856488622755,,67207.75,79258,0,0,7,77406.0,88.34092185868263,77703.0,0
2025-07-22,88.24990057964072,735.59,68156.625,79751,1,0,7,79258.0,88.03856488622755,78138.33333333333,0
2025-07-23,88.26256598323353,735.62,67934.58333333333,80856,2,0,7,79751.0,88.24990057964072,78805.0,0
2025-07-24,88.67354431137724,735.6,69267.0,81629,3,0,7,80856.0,88.26256598323353,79955.0,0
2025-07-25,84.41884594011977,735.52,67487.16666666667,80965,4,0,7,81629.0,88.67354431137724,80745.33333333333,0
2025-07-26,83.91827305389221,735.39,64669.583333333336,75865,5,1,7,80965.0,84.41884594011977,81150.0,0
2025-07-27,86.79488194011977,735.2,64436.04166666666,77593,6,1,7,75865.0,83.91827305389221,79486.33333333333,0
2025-07-28,88.2696658730539,734.95,67162.0,81354,0,0,7,77593.0,86.79488194011977,78141.0,0
2025-07-29,88.4570516502994,,68467.75,81572,1,0,7,81354.0,88.2696658730539,78270.66666666667,0
2025-07-30,89.08670988742514,734.26,67524.83333333333,81707,2,0,7,81572.0,88.4570516502994,80173.0,0
2025-07-31,87.61988195449102,733.83,68323.20833333333,81473,3,0,7,81707.0,89.08670988742514,81544.33333333333,0
2025-08-01,88.63510545149701,733.34,68566.16666666667,81455,4,0,8,81473.0,87.61988195449102,81584.0,0
2025-08-02,86.17772971497007,732.78,65214.79166666666,79606,5,1,8,81455.0,88.63510545149701,81545.0,0
2025-08-03,86.9994712766467,732.15,63209.375,77603,6,1,8,79606.0,86.17772971497007,80844.66666666667,0
2025-08-04,84.39161536766467,731.47,64069.66666666666,76902,0,0,8,77603.0,86.9994712766467,79554.66666666667,0
2025-08-05,85.66884238083833,730.72,65194.833333333336,80773,1,0,8,76902.0,84.39161536766467,78037.0,0
2025-08-06,87.1622709508982,729.9,67607.58333333333,80995,2,0,8,80773.0,85.66884238083833,78426.0,0
2025-08-07,88.27396384191617,729.01,68803.70833333333,82049,3,0,8,80995.0,87.1622709508982,79556.66666666667,0
2025-08-08,88.49948819161676,728.06,69657.625,82468,4,0,8,82049.0,88.27396384191617,81272.33333333333,0
2025-08-09,87.18183912814371,727.04,69273.04166666667,81957,5,1,8,82468.0,88.49948819161676,81837.33333333333,0
2025-08-10,86.44437468742515,725.96,67361.08333333333,81217,6,1,8,81957.0,87.18183912814371,82158.0,0
2025-08-11,87.03631639281437,724.8,68329.29166666667,81974,0,0,8,81217.0,86.44437468742515,81880.66666666667,0
2025-08-12,86.62586551856286,723.58,68262.79166666667,81389,1,0,8,81974.0,87.03631639281437,81716.0,0
2025-08-13,88.14385268502994,722.29,66401.875,81228,2,0,8,81389.0,86.62586551856286,81526.66666666667,0
2025-08-14,89.37975928622754,720.93,68566.04166666667,82553,3,0,8,81228.0,88.14385268502994,81530.33333333333,0
2025-08-15,87.97623069221557,719.5,70264.16666666667,81980,4,0,8,82553.0,89.37975928622754,81723.33333333333,0
2025-08-16,87.00672926467067,717.86,67120.91666666667,79703,5,1,8,81980.0,87.97623069221557,81920.33333333333,0
2025-08-17,89.35335343712576,716.01,67418.5,81806,6,1,8,79703.0,87.00672926467067,81412.0,0
2025-08-18,89.23879841916167,714.09,69877.25,83597,0,0,8,81806.0,89.35335343712576,81163.0,0
2025-08-19,84.77689732694611,712.1,69419.54166666667,82638,1,0,8,83597.0,89.23879841916167,81702.0,0
2025-08-20,86.65096708982037,710.04,66324.08333333333,79723,2,0,8,82638.0,84.77689732694611,82680.33333333333,0
2025-08-21,85.69231037125749,707.91,66124.33333333333,79366,3,0,8,79723.0,86.65096708982037,81986.0,0
2025-08-22,82.84551388263473,705.71,64321.91666666666,77258,4,0,8,79366.0,85.69231037125749,80575.66666666667,0
2025-08-23,84.79093512814372,703.44,63245.333333333336,77553,5,1,8,77258.0,82.84551388263473,78782.33333333333,0
2025-08-24,88.09631367185628,701.1,63871.458333333336,81744,6,1,8,77553.0,84.79093512814372,78059.0,0
2025-08-25,87.42014054610779,698.68,66870.08333333333,82503,0,0,8,81744.0,88.09631367185628,78851.66666666667,0
2025-08-26,87.1350313245509,696.2,65856.04166666667,80959,1,0,8,82503.0,87.42014054610779,80600.0,0
2025-08-27,85.16654360718562,693.65,64861.91666666666,79714,2,0,8,80959.0,87.1350313245509,81735.33333333333,0
2025-08-28,87.15991611976048,691.03,68156.54166666667,82827,3,0,8,79714.0,85.16654360718562,81058.66666666667,0
2025-08-29,87.19898099161676,688.34,66409.04166666667,80169,4,0,8,82827.0,87.15991611976048,81166.66666666667,0
2025-08-30,85.87058965748503,685.58,62111.5,73297,5,1,8,80169.0,87.19898099161676,80903.33333333333,0
2025-08-31,80.71558405748503,682.76,59080.41666666666,68809,6,1,8,73297.0,85.87058965748503,78764.33333333333,0
2025-09-01,81.91100768862276,679.87,59088.29166666666,71881,0,0,9,68809.0,80.71558405748503,74091.66666666667,1
2025-09-02,84.52655086946108,676.91,62188.875,75992,1,0,9,71881.0,81.91100768862276,71329.0,0
2025-09-03,86.95710345868262,673.89,64031.75,75972,2,0,9,75992.0,84.52655086946108,72227.33333333333,0
2025-09-04,86.0295606994012,670.8,63541.375,79872,3,0,9,75972.0,86.95710345868262,74615.0,0
2025-09-05,87.55449271856288,667.65,66685.41666666667,79284,4,0,9,79872.0,86.0295606994012,77278.66666666667,0
2025-09-06,85.19884379880239,664.44,60642.875,77036,5,1,9,79284.0,87.55449271856288,78376.0,0
2025-09-07,78.45397106107785,661.17,54891.833333333336,64204,6,1,9,77036.0,85.19884379880239,78730.66666666667,0
2025-09-08,79.3667506730539,657.83,56254.75,69966,0,0,9,64204.0,78.45397106107785,73508.0,0
2025-09-09,77.79483412694611,654.44,56940.875,72242,1,0,9,69966.0,79.3667506730539,70402.0,0
2025-09-10,80.53893473053893,650.99,58975.0,76612,2,0,9,72242.0,77.79483412694611,68804.0,0
2025-09-11,84.7439421508982,647.49,62144.25,78093,3,0,9,76612.0,80.53893473053893,72940.0,0
2025-09-12,84.14818552335329,643.93,64033.91666666666,78402,4,0,9,78093.0,84.7439421508982,75649.0,0
2025-09-13,83.70777428502996,640.32,62424.333333333336,76185,5,1,9,78402.0,84.14818552335329,77702.33333333333,0
2025-09-14,83.22252338682634,636.66,60708.333333333336,75346,6,1,9,76185.0,83.70777428502996,77560.0,0
2025-09-15,84.49173279041915,632.95,63006.75,78201,0,0,9,75346.0,83.22252338682634,76644.33333333333,0
2025-09-16,83.56830153293413,629.31,62596.75,77894,1,0,9,78201.0,84.49173279041915,76577.33333333333,0
2025-09-17,84.68136708023953,625.62,63048.54166666666,77980,2,0,9,77894.0,83.56830153293413,77147.0,0
2025-09-18,84.36246131736527,621.89,62919.0,76831,3,0,9,77980.0,84.68136708023953,78025.0,0
2025-09-19,84.13054578203594,618.12,63008.875,77758,4,0,9,76831.0,84.36246131736527,77568.33333333333,0
2025-09-20,83.37660256766466,614.31,61975.333333333336,75900,5,1,9,77758.0,84.13054578203594,77523.0,0
2025-09-21,83.57849901796406,610.45,62106.91666666666,76402,6,1,9,75900.0,83.37660256766466,76829.66666666667,0
2025-09-22,84.03547241197604,606.56,64510.875,78863,0,0,9,76402.0,83.57849901796406,76686.66666666667,0
2025-09-23,85.36255946826347,602.63,67207.25,79113,1,0,9,78863.0,84.03547241197604,77055.0,0
2025-09-24,85.45305467305388,598.67,64623.125,77934,2,0,9,79113.0,85.36255946826347,78126.0,0
2025-09-25,83.21099980838324,594.68,59776.16666666666,71868,3,0,9,77934.0,85.45305467305388,78636.66666666667,0
2025-09-26,80.12949793532934,590.66,58234.375,72230,4,0,9,71868.0,83.21099980838324,76305.0,0
2025-09-27,78.29603483592814,586.62,56213.708333333336,70961,5,1,9,72230.0,80.12949793532934,74010.66666666667,0
2025-09-28,78.03833536766467,582.54,55295.16666666666,69128,6,1,9,70961.0,78.29603483592814,71686.33333333333,0
